start,end,transcription,source,lang
0.0,0.602,liza ,YIF_NP_196X_Drinking_conv.mp3,sel
0.602,1.204,nadeʒda ,YIF_NP_196X_Drinking_conv.mp3,sel
1.204,1.806,petrovna ,YIF_NP_196X_Drinking_conv.mp3,sel
1.806,2.408,mat ,YIF_NP_196X_Drinking_conv.mp3,sel
2.408,3.01,t͡ʃʲek ,YIF_NP_196X_Drinking_conv.mp3,sel
3.01,3.612,kuralbak ,YIF_NP_196X_Drinking_conv.mp3,sel
3.612,4.2139999999999995,kioskan  ,YIF_NP_196X_Drinking_conv.mp3,sel
4.2139999999999995,4.816,kioskam ,YIF_NP_196X_Drinking_conv.mp3,sel
4.816,5.417999999999998,elle ,YIF_NP_196X_Drinking_conv.mp3,sel
5.417999999999998,6.02,ketemba ,YIF_NP_196X_Drinking_conv.mp3,sel
6.02,6.685,üdegu ,YIF_NP_196X_Drinking_conv.mp3,sel
6.685,7.35,axota ,YIF_NP_196X_Drinking_conv.mp3,sel
13.005,13.488333333333333,maɣazin ,YIF_NP_196X_Drinking_conv.mp3,sel
13.488333333333333,13.971666666666668,kuralgegu ,YIF_NP_196X_Drinking_conv.mp3,sel
13.971666666666668,14.455,nado ,YIF_NP_196X_Drinking_conv.mp3,sel
16.29,17.314999999999998,üdegu ,YIF_NP_196X_Drinking_conv.mp3,sel
17.314999999999998,18.34,oxota ,YIF_NP_196X_Drinking_conv.mp3,sel
18.34,19.916666666666668,üteʒekogu ,YIF_NP_196X_Drinking_conv.mp3,sel
19.916666666666668,21.49333333333333,potom ,YIF_NP_196X_Drinking_conv.mp3,sel
21.49333333333333,23.07,nado ,YIF_NP_196X_Drinking_conv.mp3,sel
35.966,44.333, ,YIF_NP_196X_Drinking_conv.mp3,sel
8.125,8.58,meka ,YIF_NP_196X_Drinking_conv.mp3,sel
8.58,9.035,naj ,YIF_NP_196X_Drinking_conv.mp3,sel
9.035,9.49,oxota ,YIF_NP_196X_Drinking_conv.mp3,sel
9.49,9.945,no ,YIF_NP_196X_Drinking_conv.mp3,sel
9.945,10.4,taw ,YIF_NP_196X_Drinking_conv.mp3,sel
10.4,10.855,kaj ,YIF_NP_196X_Drinking_conv.mp3,sel
10.855,11.31,katolenʒe ,YIF_NP_196X_Drinking_conv.mp3,sel
11.31,11.7225,nat͡ʃit ,YIF_NP_196X_Drinking_conv.mp3,sel
11.7225,12.135,kulaj ,YIF_NP_196X_Drinking_conv.mp3,sel
14.465,14.835,a ,YIF_NP_196X_Drinking_conv.mp3,sel
14.835,15.205,wes ,YIF_NP_196X_Drinking_conv.mp3,sel
15.205,15.575,ketemba ,YIF_NP_196X_Drinking_conv.mp3,sel
23.708000000000002,28.763, ,YIF_NP_196X_Drinking_conv.mp3,sel
28.918000000000006,29.83442857142857,kuralgela ,YIF_NP_196X_Drinking_conv.mp3,sel
29.83442857142857,30.750857142857146,tatjana ,YIF_NP_196X_Drinking_conv.mp3,sel
30.750857142857146,31.66728571428571,semʲonovnan ,YIF_NP_196X_Drinking_conv.mp3,sel
31.66728571428571,32.58371428571429,tabnan ,YIF_NP_196X_Drinking_conv.mp3,sel
32.58371428571429,33.500142857142855,kajnaj ,YIF_NP_196X_Drinking_conv.mp3,sel
33.500142857142855,34.41657142857143,nʲetu ,YIF_NP_196X_Drinking_conv.mp3,sel
